"Rank"	"Rider"	"Rider.No."	"Team"	"Times"	"Gap"	"B"	"P"	"Stage_no"	"Hour"	"Minute"	"Second"	"total_seconds"	"time"
141	"D. HOOLE"	54	"DECATHLON CMA CGM TEAM"	"00h 25' 59''"	"+ 00h 04' 12''"	"-"	"-"	"stage-1"	0	25	59	1559	25M 59S
142	"J. OTRUBA"	227	"CAJA RURAL-SEGUROS RGA"	"00h 25' 59''"	"+ 00h 04' 12''"	"-"	"-"	"stage-1"	0	25	59	1559	25M 59S
143	"R. STANNARD"	76	"BAHRAIN VICTORIOUS"	"00h 26' 02''"	"+ 00h 04' 15''"	"-"	"-"	"stage-1"	0	26	2	1562	26M 2S
144	"S. WAERENSKJOLD"	128	"UNO-X MOBILITY"	"00h 26' 02''"	"+ 00h 04' 15''"	"-"	"-"	"stage-1"	0	26	2	1562	26M 2S
145	"T. SKUJINS"	36	"LIDL-TREK"	"00h 26' 03''"	"+ 00h 04' 16''"	"-"	"-"	"stage-1"	0	26	3	1563	26M 3S
146	"C. HARPER"	173	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 26' 08''"	"+ 00h 04' 21''"	"-"	"-"	"stage-1"	0	26	8	1568	26M 8S
147	"C. VERONA"	38	"LIDL-TREK"	"00h 26' 09''"	"+ 00h 04' 22''"	"-"	"-"	"stage-1"	0	26	9	1569	26M 9S
148	"M. PEDERSEN"	33	"LIDL-TREK"	"00h 26' 09''"	"+ 00h 04' 22''"	"-"	"-"	"stage-1"	0	26	9	1569	26M 9S
149	"P. HAGENES"	15	"TEAM VISMA | LEASE A BIKE"	"00h 26' 10''"	"+ 00h 04' 23''"	"-"	"-"	"stage-1"	0	26	10	1570	26M 10S
150	"E. AFFINI"	12	"TEAM VISMA | LEASE A BIKE"	"00h 26' 10''"	"+ 00h 04' 23''"	"-"	"-"	"stage-1"	0	26	10	1570	26M 10S
151	"Q. SIMMONS"	34	"LIDL-TREK"	"00h 26' 10''"	"+ 00h 04' 23''"	"-"	"-"	"stage-1"	0	26	10	1570	26M 10S
152	"P. EENKHOORN"	92	"SOUDAL QUICK-STEP"	"00h 26' 13''"	"+ 00h 04' 26''"	"-"	"-"	"stage-1"	0	26	13	1573	26M 13S
153	"N. POLITT"	5	"UAE TEAM EMIRATES XRG"	"00h 26' 14''"	"+ 00h 04' 27''"	"-"	"-"	"stage-1"	0	26	14	1574	26M 14S
154	"A. YATES"	8	"UAE TEAM EMIRATES XRG"	"00h 26' 14''"	"+ 00h 04' 27''"	"-"	"-"	"stage-1"	0	26	14	1574	26M 14S
155	"B. VAN MOER"	177	"PINARELLO-Q36.5 PRO CYCLING TEAM"	"00h 26' 14''"	"+ 00h 04' 27''"	"-"	"-"	"stage-1"	0	26	14	1574	26M 14S
